VAR_EDDY.Qc_tau,VAR_EDDY.MO_length,VAR_EDDY.u_star,VAR_EDDY.wind_dir,VAR_EDDY.U,VAR_EDDY.tau,datetime,season_year,season_date,target_doy,group_name
0,-431322.2,1.04772,208.07,6.59496,-1.4156,2018-01-15T21:30:00.0,2018,2018-01-15,15,momentum_flux
0,-14089.4,1.15042,207.47,6.39016,-1.70701,2018-01-15T22:00:00.0,2018,2018-01-15,15,momentum_flux
0,-5291.874,1.02635,208.16,5.977,-1.35981,2018-01-15T22:30:00.0,2018,2018-01-15,15,momentum_flux
0,-10026.67,0.96673,199.87,5.72621,-1.20759,2018-01-15T23:00:00.0,2018,2018-01-15,15,momentum_flux
0,-4613.279,0.88947,195.54,4.93708,-1.02245,2018-01-15T23:30:00.0,2018,2018-01-15,15,momentum_flux
0,-22.87242,0.09241,94.303,1.12167,-0.01106,2019-01-15T00:00:00.0,2019,2019-01-15,15,momentum_flux
0,-63.79399,0.11995,98.916,2.17419,-0.01866,2019-01-15T00:30:00.0,2019,2019-01-15,15,momentum_flux
0,-71.21856,0.14623,103.03,2.8197,-0.02776,2019-01-15T01:00:00.0,2019,2019-01-15,15,momentum_flux
2,10.54413,0.06737,112.22,2.44103,-0.0059,2019-01-15T01:30:00.0,2019,2019-01-15,15,momentum_flux
1,,,119.28,2.28991,0.00506,2019-01-15T02:00:00.0,2019,2019-01-15,15,momentum_flux
1,1.37717,0.03365,112.41,2.4843,-0.00147,2019-01-15T02:30:00.0,2019,2019-01-15,15,momentum_flux
0,-0.48056,0.04323,126.91,2.01619,-0.0024,2019-01-15T03:00:00.0,2019,2019-01-15,15,momentum_flux
1,,,125.84,2.07007,0.00294,2019-01-15T03:30:00.0,2019,2019-01-15,15,momentum_flux
2,,,121.37,1.67035,0.0031,2019-01-15T04:00:00.0,2019,2019-01-15,15,momentum_flux
1,,,113.95,1.90797,0.0024,2019-01-15T04:30:00.0,2019,2019-01-15,15,momentum_flux
2,,,119.49,1.82855,0.0038,2019-01-15T05:00:00.0,2019,2019-01-15,15,momentum_flux
,,,98.556,1.78643,,2019-01-15T05:30:00.0,2019,2019-01-15,15,momentum_flux
2,-2.30074,0.02807,86.781,1.66192,-0.001,2019-01-15T06:00:00.0,2019,2019-01-15,15,momentum_flux
0,-6.47496,0.0435,62.941,1.13212,-0.0024,2019-01-15T06:30:00.0,2019,2019-01-15,15,momentum_flux
2,,,78.962,1.62653,0.00822,2019-01-15T07:00:00.0,2019,2019-01-15,15,momentum_flux
,,,99.045,1.70318,,2019-01-15T07:30:00.0,2019,2019-01-15,15,momentum_flux
2,,,86.629,2.52856,0.00341,2019-01-15T08:00:00.0,2019,2019-01-15,15,momentum_flux
0,6.07858,0.04136,91.532,2.81971,-0.00218,2019-01-15T08:30:00.0,2019,2019-01-15,15,momentum_flux
